Date,Open,High,Low,Close,Adj Close,Volume
2022-12-29,0.309500,0.311500,0.303100,0.304000,0.304000,7628968
2022-12-30,0.303500,0.312300,0.303500,0.305000,0.305000,7567104
2023-01-02,0.307000,0.336100,0.303500,0.332000,0.332000,6673497
2023-01-03,0.332100,0.361000,0.332100,0.353000,0.353000,10656022
2023-01-04,0.360000,0.360000,0.344100,0.347000,0.347000,5692270
2023-01-05,0.347000,0.354400,0.328400,0.344900,0.344900,2949631
2023-01-06,0.341700,0.344400,0.335100,0.339300,0.339300,1579076
2023-01-09,0.343800,0.345800,0.334000,0.335700,0.335700,4669199
2023-01-10,0.336100,0.341500,0.330000,0.337500,0.337500,5042694
2023-01-11,0.337500,0.339200,0.333500,0.337500,0.337500,3225982
2023-01-12,0.339100,0.342600,0.325800,0.328700,0.328700,6505306
2023-01-13,0.334900,0.342600,0.328900,0.330000,0.330000,6887363
2023-01-16,0.330000,0.332800,0.322500,0.323100,0.323100,5803011
2023-01-17,0.323700,0.328000,0.316500,0.319000,0.319000,4953273
2023-01-18,0.318000,0.330500,0.318000,0.323100,0.323100,6387671
2023-01-19,0.323100,0.327200,0.317400,0.317400,0.317400,2389155
2023-01-20,0.318000,0.322800,0.316700,0.320000,0.320000,2352291
2023-01-23,0.321200,0.324100,0.315000,0.317000,0.317000,4859363
2023-01-24,0.320000,0.322900,0.309000,0.310300,0.310300,5917084
2023-01-25,0.310500,0.318500,0.310500,0.312000,0.312000,5074216
2023-01-26,0.312500,0.318900,0.308000,0.308100,0.308100,3778478
2023-01-27,0.308100,0.311700,0.303700,0.304200,0.304200,3974579
2023-01-30,0.309000,0.310000,0.303600,0.307300,0.307300,5896763
2023-01-31,0.308500,0.310000,0.303000,0.304300,0.304300,2860611
2023-02-01,0.309900,0.314700,0.308200,0.309000,0.309000,6937715
2023-02-02,0.309100,0.322000,0.309100,0.320000,0.320000,9044232
2023-02-03,0.323100,0.325200,0.313700,0.313700,0.313700,4049082
2023-02-06,0.318400,0.318400,0.306700,0.306700,0.306700,4927475
2023-02-07,0.306000,0.320000,0.306000,0.307000,0.307000,6113453
2023-02-08,0.310000,0.312700,0.307000,0.307600,0.307600,5735233
2023-02-09,0.307600,0.315000,0.307600,0.314900,0.314900,4828249
2023-02-10,0.320000,0.320000,0.308600,0.311100,0.311100,3015896
2023-02-13,0.312000,0.314100,0.304100,0.304800,0.304800,4576462
2023-02-14,0.305100,0.311100,0.305000,0.306000,0.306000,4361959
2023-02-15,0.308000,0.308000,0.300000,0.302000,0.302000,5428323
2023-02-16,0.303000,0.305000,0.300000,0.302100,0.302100,6810327
2023-02-17,0.302000,0.302100,0.299000,0.300000,0.300000,3314822
2023-02-20,0.303500,0.304000,0.299700,0.300300,0.300300,3828798
2023-02-21,0.298200,0.303000,0.298200,0.301100,0.301100,1451615
2023-02-22,0.298400,0.303700,0.297400,0.297600,0.297600,3540700
2023-02-23,0.294800,0.302300,0.294800,0.297600,0.297600,6438008
2023-02-24,0.291500,0.295400,0.287000,0.292300,0.292300,8474845
2023-02-27,0.292300,0.296200,0.288200,0.291400,0.291400,5316673
2023-02-28,0.290800,0.292500,0.285600,0.289200,0.289200,3864979
2023-03-01,0.289200,0.293200,0.275600,0.289200,0.289200,7802914
2023-03-02,0.289200,0.292100,0.284600,0.290800,0.290800,3745271
2023-03-03,0.291300,0.300000,0.290800,0.298700,0.298700,3687973
2023-03-06,0.299500,0.302800,0.294500,0.297800,0.297800,6049538
2023-03-07,0.298800,0.305600,0.298800,0.300000,0.300000,5335495
2023-03-08,0.300000,0.305600,0.298900,0.304500,0.304500,4760455
2023-03-09,0.307500,0.308100,0.303900,0.306000,0.306000,1489014
2023-03-10,0.306000,0.306000,0.292600,0.296000,0.296000,4064504
2023-03-13,0.296700,0.296700,0.280300,0.289200,0.289200,6402875
2023-03-14,0.286500,0.292300,0.282500,0.291700,0.291700,3090279
2023-03-15,0.290000,0.299300,0.281900,0.286700,0.286700,3250365
2023-03-16,0.287000,0.289300,0.283800,0.289300,0.289300,2861448
2023-03-17,0.289300,0.295100,0.280000,0.281900,0.281900,2624021
2023-03-20,0.281900,0.285300,0.276300,0.283700,0.283700,2198411
2023-03-21,0.283700,0.288000,0.280600,0.281600,0.281600,1889207
2023-03-22,0.283000,0.283000,0.276300,0.278600,0.278600,2355030
2023-03-23,0.278600,0.279500,0.274300,0.278400,0.278400,1322272
2023-03-24,0.289200,0.289200,0.271700,0.272300,0.272300,2887294
2023-03-27,0.274700,0.274700,0.268200,0.270000,0.270000,3559388
2023-03-28,0.270000,0.271200,0.264900,0.265700,0.265700,2194054
2023-03-29,0.267400,0.267400,0.259400,0.262000,0.262000,7929004
2023-03-30,0.262000,0.264800,0.260100,0.262300,0.262300,2982469
2023-03-31,0.263400,0.270500,0.262200,0.266900,0.266900,4736662
2023-04-03,0.266600,0.272800,0.264300,0.265900,0.265900,3745923
2023-04-04,0.266000,0.267900,0.263700,0.264100,0.264100,2041669
2023-04-05,0.263600,0.265000,0.261100,0.261100,0.261100,1844015
2023-04-11,0.258000,0.258000,0.217000,0.229200,0.229200,39353774
2023-04-12,0.200000,0.202600,0.116800,0.162600,0.162600,93262785
2023-04-13,0.162000,0.169400,0.137000,0.143000,0.143000,74612173
2023-04-14,0.143000,0.164600,0.134000,0.155700,0.155700,58293353
2023-04-17,0.164000,0.211000,0.163700,0.203500,0.203500,84539033
2023-04-18,0.206500,0.230000,0.202100,0.207000,0.207000,63258118
2023-04-19,0.206700,0.215500,0.190500,0.205500,0.205500,33972692
2023-04-20,0.204600,0.205500,0.190500,0.193500,0.193500,17271869
2023-04-21,0.189700,0.189700,0.168600,0.178600,0.178600,28560194
2023-04-24,0.178800,0.184900,0.177400,0.178400,0.178400,10397205
2023-04-25,0.178400,0.182700,0.173600,0.175000,0.175000,8427049
2023-04-26,0.174600,0.179100,0.171000,0.172200,0.172200,7939385
2023-04-27,0.172500,0.175000,0.166600,0.173900,0.173900,12120133
2023-04-28,0.175400,0.179100,0.171500,0.176500,0.176500,10669038
2023-05-01,0.180100,0.183300,0.180000,0.180300,0.180300,2899418
2023-05-02,0.180200,0.183300,0.176800,0.178000,0.178000,5617476
2023-05-03,0.181700,0.225800,0.178700,0.207000,0.207000,41949795
2023-05-04,0.199700,0.209400,0.194200,0.204800,0.204800,17330137
2023-05-08,0.209400,0.218600,0.208000,0.212400,0.212400,10316368
2023-05-09,0.212600,0.217900,0.208100,0.208100,0.208100,9003711
2023-05-10,0.210000,0.215700,0.187300,0.191500,0.191500,28075758
2023-05-11,0.190000,0.201200,0.179500,0.188000,0.188000,18641716
2023-05-12,0.188100,0.199300,0.185700,0.194100,0.194100,11263484
2023-05-15,0.194100,0.196000,0.190700,0.192700,0.192700,13606279
2023-05-16,0.210000,0.217900,0.200500,0.201000,0.201000,23451360
2023-05-17,0.206400,0.209900,0.201600,0.202900,0.202900,6220011
2023-05-22,0.202900,0.211000,0.202900,0.208800,0.208800,8054708
2023-05-23,0.205600,0.212300,0.205600,0.208000,0.208000,9433162
2023-05-24,0.208000,0.211500,0.205200,0.205200,0.205200,4488242
2023-05-25,0.204500,0.210500,0.202300,0.205700,0.205700,3795281
2023-05-26,0.213900,0.226000,0.208900,0.223400,0.223400,15007922
2023-05-30,0.230100,0.287600,0.223400,0.261000,0.261000,43761988
2023-05-31,0.261000,0.287000,0.227700,0.247400,0.247400,22478764
2023-06-01,0.228800,0.245300,0.212800,0.223800,0.223800,19589478
2023-06-02,0.219900,0.227000,0.200000,0.218000,0.218000,21861246
2023-06-06,0.218000,0.218000,0.201400,0.210000,0.210000,7141633
2023-06-07,0.214800,0.229800,0.211300,0.223100,0.223100,9928376
2023-06-08,0.224000,0.226600,0.217600,0.220600,0.220600,6875260
2023-06-09,0.229400,0.231300,0.221000,0.229600,0.229600,5474761
2023-06-12,0.230000,0.268300,0.230000,0.262200,0.262200,26241072
2023-06-13,0.263000,0.282100,0.259300,0.267300,0.267300,16801292
2023-06-14,0.267300,0.278700,0.260400,0.261100,0.261100,9340084
2023-06-15,0.260000,0.260000,0.252100,0.253800,0.253800,3286749
2023-06-16,0.254600,0.263300,0.250100,0.250100,0.250100,6920194
2023-06-19,0.260100,0.260100,0.246000,0.248600,0.248600,3881351
2023-06-20,0.245200,0.249000,0.240500,0.241000,0.241000,3201580
2023-06-21,0.241900,0.242700,0.230200,0.237100,0.237100,2895715
2023-06-22,0.237100,0.256300,0.231100,0.242000,0.242000,5273956
2023-06-23,0.240000,0.250000,0.236300,0.248500,0.248500,2736916
2023-06-26,0.245800,0.245800,0.231300,0.238000,0.238000,5220149
2023-06-27,0.231300,0.240000,0.230000,0.236900,0.236900,2543083
2023-06-28,0.230000,0.238300,0.230000,0.233000,0.233000,2588088
2023-06-29,0.230200,0.240300,0.229900,0.234000,0.234000,4715061
2023-06-30,0.234000,0.237200,0.232800,0.234000,0.234000,2686739
2023-07-03,0.239100,0.239100,0.228900,0.230800,0.230800,2030760
2023-07-04,0.230800,0.234700,0.229100,0.231700,0.231700,5291524
2023-07-05,0.230000,0.235900,0.228700,0.231200,0.231200,1772503
2023-07-06,0.232800,0.232800,0.227800,0.228300,0.228300,1009884
2023-07-07,0.230500,0.237300,0.230500,0.233900,0.233900,3279787
2023-07-10,0.233900,0.234100,0.229700,0.230800,0.230800,2064909
2023-07-11,0.231000,0.243600,0.229300,0.232000,0.232000,3673496
2023-07-12,0.232000,0.233900,0.226300,0.233100,0.233100,2823931
2023-07-13,0.230000,0.235400,0.230000,0.235000,0.235000,1528749
2023-07-14,0.240000,0.240000,0.230400,0.232700,0.232700,1836144
2023-07-17,0.232500,0.233900,0.229000,0.231800,0.231800,1731807
2023-07-18,0.230600,0.232000,0.228600,0.231400,0.231400,2144831
2023-07-19,0.231400,0.234700,0.230000,0.232300,0.232300,1565817
2023-07-20,0.232300,0.232300,0.226900,0.226900,0.226900,3143693
2023-07-21,0.227000,0.228500,0.223300,0.225000,0.225000,2345573
2023-07-24,0.220000,0.231000,0.219700,0.227700,0.227700,3635732
2023-07-25,0.229900,0.231700,0.226500,0.230700,0.230700,1496806
2023-07-26,0.230700,0.296000,0.230600,0.255600,0.255600,36304302
2023-07-27,0.260000,0.265000,0.250000,0.252200,0.252200,12299614
2023-07-28,0.260000,0.260000,0.244500,0.245600,0.245600,3012959
2023-07-31,0.245000,0.252300,0.244800,0.250800,0.250800,3806243
2023-08-01,0.250000,0.265000,0.246100,0.254100,0.254100,6529656
2023-08-02,0.260000,0.260000,0.249000,0.250200,0.250200,2893719
2023-08-03,0.249300,0.252000,0.235800,0.235800,0.235800,5773316
2023-08-04,0.235800,0.247000,0.235800,0.243100,0.243100,4311148
2023-08-07,0.257800,0.258000,0.244200,0.244600,0.244600,6385250
2023-08-08,0.245000,0.248000,0.238000,0.241500,0.241500,3965040
2023-08-09,0.241500,0.248100,0.240900,0.243300,0.243300,2846968
2023-08-10,0.240500,0.245000,0.240500,0.241100,0.241100,2576327
2023-08-11,0.240500,0.240500,0.235000,0.237000,0.237000,4278133
2023-08-14,0.236600,0.237000,0.229000,0.235000,0.235000,4817233
2023-08-15,0.235000,0.235000,0.227200,0.228300,0.228300,3332262
2023-08-16,0.228000,0.234000,0.227100,0.227200,0.227200,2566220
2023-08-17,0.228000,0.228600,0.222600,0.227300,0.227300,3251589
2023-08-18,0.227300,0.227300,0.220000,0.220000,0.220000,2873068
2023-08-21,0.224500,0.224500,0.219000,0.219200,0.219200,1831932
2023-08-22,0.214000,0.222700,0.214000,0.221800,0.221800,3678145
2023-08-23,0.221800,0.223000,0.219400,0.220900,0.220900,2546183
2023-08-24,0.220000,0.220300,0.213600,0.213900,0.213900,4704461
2023-08-25,0.213200,0.220400,0.213200,0.217000,0.217000,2798313
2023-08-28,0.217000,0.220300,0.217000,0.218100,0.218100,1940602
2023-08-29,0.221000,0.223700,0.218400,0.222800,0.222800,2912434
2023-08-30,0.230000,0.230000,0.218400,0.218700,0.218700,3278172
2023-08-31,0.219000,0.229200,0.218200,0.227500,0.227500,5377972
2023-09-01,0.260000,0.291000,0.229500,0.249200,0.249200,39347984
