,Date,SP500 - Price,SP500 - Log-Return,squared_log_ret
"70-1",1950-04-14,17.959999,-0.0011130218487096499,1.2388176357050467e-06
"71-1",1950-04-17,17.879999000000002,-0.004464293377809625,1.9929915363154871e-05
"72-1",1950-04-18,18.030000999999999,0.0083543788613860137,6.9795646159573471e-05
"73-1",1950-04-19,18.049999,0.0011085366988852208,1.2288536127753427e-06
"74-1",1950-04-20,17.93,-0.0066703417601847725,4.4493459197664887e-05
"75-1",1950-04-21,17.959999,0.001671719577723163,2.7946463465429105e-06
"76-1",1950-04-24,17.829999999999998,-0.0072645753197160268,5.2774054575827215e-05
"77-1",1950-04-25,17.829999999999998,0,0
"78-1",1950-04-26,17.760000000000002,-0.0039336943110246381,1.5473950932587603e-05
"79-1",1950-04-27,17.860001,0.0056148938753688427,3.1527033231654541e-05
"80-1",1950-04-28,17.959999,0.0055833757553718222,3.1174084825673866e-05
"81-1",1950-05-01,18.219999000000001,0.014372829752304028,0.00020657823508871587
"82-1",1950-05-02,18.110001,-0.0060555098336365631,3.6669199345269117e-05
"83-1",1950-05-03,18.27,0.0087960432764830898,7.7370377321763365e-05
"84-1",1950-05-04,18.120000999999998,-0.0082440145874458359,6.7963776518019739e-05
"85-1",1950-05-05,18.219999000000001,0.0055034811445993093,3.0288304708960123e-05
"86-1",1950-05-08,18.27,0.0027405334428465267,7.5105235513602362e-06
"87-1",1950-05-09,18.27,0,0
"88-1",1950-05-10,18.290001,0.0010941466875431516,1.1971569738616511e-06
"89-1",1950-05-11,18.290001,0,0
"90-1",1950-05-12,18.18,-0.0060324283281256719,3.6390191533973092e-05
"91-1",1950-05-15,18.260000000000002,0.0043907864174896893,1.9279005364011941e-05
"92-1",1950-05-16,18.440000999999999,0.0098093971915584888,9.6224273261755569e-05
"93-1",1950-05-17,18.52,0.0043289568596520667,1.8739867492728684e-05
"94-1",1950-05-18,18.559999000000001,0.0021574442607095179,4.654565738068438e-06
"95-1",1950-05-19,18.68,0.0064447593219538746,4.1534922717911368e-05
"96-1",1950-05-22,18.600000000000001,-0.0042918520815407035,1.8419994289825269e-05
"97-1",1950-05-23,18.709999,0.0058965061194866664,3.4768784417143704e-05
"98-1",1950-05-24,18.690000999999999,-0.00106941186662457,1.143641740477447e-06
"99-1",1950-05-25,18.690000999999999,0,0
"100-1",1950-05-26,18.670000000000002,-0.0010707174183863799,1.146435790035994e-06
"101-1",1950-05-29,18.719999000000001,0.002674460077009666,7.1527367035185485e-06
"102-1",1950-05-31,18.780000999999999,0.0032001093976106176,1.0240700156675789e-05
"103-1",1950-06-01,18.77,-0.00053267642983412244,2.8374417890082678e-07
"104-1",1950-06-02,18.790001,0.001065016046752465,1.1342591798402486e-06
"105-1",1950-06-05,18.600000000000001,-0.010163285926014343,0.00010329238081392121
"106-1",1950-06-06,18.879999000000002,0.014941527032096058,0.00022324923005085723
"107-1",1950-06-07,18.93,0.0026448574699795557,6.9952710365066563e-06
"108-1",1950-06-08,19.139999,0.011032368556971317,0.00012171315597684937
